"Story","Title","Result","Date","Stability","Duration (s)"
"Email ops","Composing email","SUCCESS","2014-09-26T08:54:18.420Z","0.0","3.67"
"Email ops","Signing in","SUCCESS","2014-09-26T08:54:06.961Z","0.0","11.23"
