"Story","Title","Result","Date","Stability","Duration (s)"
"Email ops","Composing email","SUCCESS","2014-09-27T10:51:22.090Z","0.0","23.9"
"Email ops","Signing in out","SUCCESS","2014-09-27T10:51:21.593Z","0.0","22.98"
